# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
6.0000000000e+00	HF	-4.5616204270e-02	5.1606674084e-05	-2.5427124672e-02	3.0698768841e-02	-7.6314973111e-02	-5.0658763883e-02	2.5395267486e-13	1	36
6.0000000000e+00	Mueller	-1.2024460052e-01	-7.4576789578e-02	-2.5427124672e-02	1.0894216442e-01	-2.2918676494e-01	-1.2024459979e-01	6.5052130349e-19	1	95
6.0000000000e+00	Power(alpha=0.550000)	-7.8228202361e-02	-3.2560391417e-02	-2.5427124672e-02	5.2681291917e-02	-1.3090949428e-01	-8.6576457822e-02	6.5052130349e-19	1	74
6.0000000000e+00	Power(alpha=0.580000)	-6.7738752322e-02	-2.2070941378e-02	-2.5427124672e-02	4.2820563829e-02	-1.1055931615e-01	-7.6023623479e-02	2.1684043450e-19	1	65
8.0000000000e+00	HF	-3.9968172360e-02	3.7636710896e-05	-2.1390683414e-02	1.7268057473e-02	-5.7236229833e-02	-4.7584950770e-02	1.0713630504e-13	1	36
8.0000000000e+00	Mueller	-1.1591499623e-01	-7.5909187156e-02	-2.1390683414e-02	9.6715870909e-02	-2.1263086714e-01	-1.1591499497e-01	1.6263032587e-19	1	89
8.0000000000e+00	Power(alpha=0.550000)	-6.9842419332e-02	-2.9836610260e-02	-2.1390683414e-02	3.8783431003e-02	-1.0862585033e-01	-7.9912855262e-02	0.0000000000e+00	1	86
8.0000000000e+00	Power(alpha=0.580000)	-5.9399004319e-02	-1.9393195247e-02	-2.1390683414e-02	2.7983637866e-02	-8.7382642185e-02	-6.9829546873e-02	2.7105054312e-19	1	73
1.0000000000e+01	HF	-3.4737427084e-02	2.9596587276e-05	-1.8572289477e-02	1.1051556783e-02	-4.5788983867e-02	-4.2671581988e-02	5.4853799454e-14	1	36
1.0000000000e+01	Mueller	-1.1081987509e-01	-7.6052851422e-02	-1.8572289477e-02	8.4256334936e-02	-1.9507621003e-01	-1.1081987313e-01	1.8973538018e-19	1	83
1.0000000000e+01	Power(alpha=0.550000)	-6.2963592826e-02	-2.8196569155e-02	-1.8572289477e-02	3.2895192378e-02	-9.5858785205e-02	-7.2543586888e-02	2.7105054312e-20	1	102
1.0000000000e+01	Power(alpha=0.580000)	-5.2335449792e-02	-1.7568426121e-02	-1.8572289477e-02	2.0939674912e-02	-7.3275124704e-02	-6.2740495886e-02	8.1315162936e-20	1	82
