# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	Beta(beta=0.550)	2.5337872921e+01	4.9352452290e-03	-1.0112257165e-01	2.7629225818e+01	-2.2913528962e+00	4.2984979338e+01	2.7718272122e-11	1	47
3.0000000000e-01	Beta(beta=0.550)	1.0752082480e+01	2.0716160549e-03	-9.0011618209e-02	1.2279912902e+01	-1.5278304225e+00	1.8425605186e+01	1.4033219031e-13	1	58
5.0000000000e-01	Beta(beta=0.550)	3.5040364324e+00	5.6475612182e-04	-7.6618735869e-02	4.4212925630e+00	-9.1725613058e-01	6.1444815254e+00	5.1070259133e-15	1	93
1.0000000000e+00	Beta(beta=0.550)	6.4614841905e-01	-6.3685337682e-04	-5.9773685807e-02	1.1095415979e+00	-4.6339317881e-01	1.2309643130e+00	3.1086244690e-15	1	153
2.0000000000e+00	Beta(beta=0.550)	4.1177681586e-02	-5.9773131990e-03	-4.4759497344e-02	2.9590702546e-01	-2.5472934387e-01	1.5309128355e-01	1.2836953722e-16	1	116
3.0000000000e+00	Beta(beta=0.550)	-4.2131983291e-02	-1.2182503942e-02	-3.6941216260e-02	1.5217201619e-01	-1.9430399948e-01	-5.7510228057e-03	3.4694469520e-17	1	100
4.0000000000e+00	Beta(beta=0.550)	-6.2453604237e-02	-1.6971691273e-02	-3.1866339888e-02	1.0221350275e-01	-1.6466710698e-01	-4.9333612497e-02	1.6913553891e-17	1	101
5.0000000000e+00	Beta(beta=0.550)	-6.7712840701e-02	-2.0277804673e-02	-2.8216233275e-02	7.8007982615e-02	-1.4572082332e-01	-6.4271676668e-02	2.3852447795e-18	1	103
6.0000000000e+00	Beta(beta=0.550)	-6.8147518168e-02	-2.2479707224e-02	-2.5427124672e-02	6.3838687116e-02	-1.3198620528e-01	-6.9459390722e-02	5.6378512969e-18	1	85
8.0000000000e+00	Beta(beta=0.550)	-6.4855888220e-02	-2.4850079149e-02	-2.1390683414e-02	4.7951665782e-02	-1.1280755400e-01	-7.0200008636e-02	7.5894152074e-19	1	91
1.0000000000e+01	Beta(beta=0.550)	-6.0521727430e-02	-2.5754703759e-02	-1.8572289477e-02	3.9135796809e-02	-9.9657524239e-02	-6.7184037781e-02	1.3281476613e-18	1	104
