# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	Power(alpha=0.550000)	2.5231349910e+01	-1.0158776626e-01	-1.0112257165e-01	2.7699049452e+01	-2.4676995421e+00	4.2899468536e+01	1.4065548726e-10	1	56
3.0000000000e-01	Power(alpha=0.550000)	1.0659326205e+01	-9.0684658649e-02	-9.0011618209e-02	1.2341949688e+01	-1.6826234831e+00	1.8331947862e+01	2.5003998871e-11	1	57
5.0000000000e-01	Power(alpha=0.550000)	3.4258170043e+00	-7.7654671960e-02	-7.6618735869e-02	4.4725178837e+00	-1.0467008794e+00	6.0559932315e+00	3.2418512319e-12	1	58
1.0000000000e+00	Power(alpha=0.550000)	5.8523152940e-01	-6.1553743018e-02	-5.9773685807e-02	1.1448246103e+00	-5.5959308086e-01	1.1622522053e+00	2.4294455336e-13	1	59
2.0000000000e+00	Power(alpha=0.550000)	-5.9685496090e-04	-4.7751849746e-02	-4.4759497344e-02	3.0588051200e-01	-3.0647736696e-01	1.0181304032e-01	1.4571677198e-15	1	65
3.0000000000e+00	Power(alpha=0.550000)	-7.0803074198e-02	-4.0853594849e-02	-3.6941216260e-02	1.4769087228e-01	-2.1849394648e-01	-4.4230453941e-02	5.8980598183e-17	1	69
4.0000000000e+00	Power(alpha=0.550000)	-8.1970117075e-02	-3.6488204111e-02	-3.1866339888e-02	9.1115743958e-02	-1.7308586103e-01	-7.7683870490e-02	3.0357660830e-18	1	72
5.0000000000e+00	Power(alpha=0.550000)	-8.0828046035e-02	-3.3393010007e-02	-2.8216233275e-02	6.4267175016e-02	-1.4509522105e-01	-8.4810723191e-02	2.1684043450e-19	1	77
6.0000000000e+00	Power(alpha=0.550000)	-7.6709632511e-02	-3.1041821567e-02	-2.5427124672e-02	4.9256799484e-02	-1.2596643199e-01	-8.4022059900e-02	6.5052130349e-19	1	80
8.0000000000e+00	Power(alpha=0.550000)	-6.7633500534e-02	-2.7627691463e-02	-2.1390683414e-02	3.3602439024e-02	-1.0123593956e-01	-7.6546616441e-02	1.2468324984e-18	1	87
1.0000000000e+01	Power(alpha=0.550000)	-5.9963903248e-02	-2.5196879576e-02	-1.8572289477e-02	2.5724711956e-02	-8.5688615204e-02	-6.8390224740e-02	4.3368086899e-19	1	94
