# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	optGM(a=-0.0822,b=0.8013,c=0.5926)	2.5237586061e+01	-9.5351615314e-02	-1.0112257165e-01	2.7690835040e+01	-2.4532489791e+00	4.2872335673e+01	8.2412299207e-11	1	56
3.0000000000e-01	optGM(a=-0.0822,b=0.8013,c=0.5926)	1.0665592324e+01	-8.4418539413e-02	-9.0011618209e-02	1.2335747208e+01	-1.6701548835e+00	1.8333265442e+01	1.4290790773e-11	1	56
5.0000000000e-01	optGM(a=-0.0822,b=0.8013,c=0.5926)	3.4316768506e+00	-7.1794825691e-02	-7.6618735869e-02	4.4680691352e+00	-1.0363922846e+00	6.0657083903e+00	3.1576963266e-12	1	57
1.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	5.9014665201e-01	-5.6638620415e-02	-5.9773685807e-02	1.1414434402e+00	-5.5129678822e-01	1.1682268800e+00	8.3877349510e-14	1	60
2.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	3.2571911418e-03	-4.3897803643e-02	-4.4759497344e-02	3.0354083179e-01	-3.0028364065e-01	1.0675296015e-01	1.2143064332e-15	1	63
3.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	-6.7535891948e-02	-3.7586412598e-02	-3.6941216260e-02	1.4581020389e-01	-2.1334609584e-01	-3.9831611948e-02	1.1969591984e-16	1	55
4.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	-7.9082313812e-02	-3.3600400848e-02	-3.1866339888e-02	8.9482401502e-02	-1.6856471531e-01	-7.3615453032e-02	2.1684043450e-18	1	60
5.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	-7.8206201506e-02	-3.0771165478e-02	-2.8216233275e-02	6.2775833895e-02	-1.4098203540e-01	-8.0970553025e-02	3.8380756906e-17	1	64
6.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	-7.4283912236e-02	-2.8616101292e-02	-2.5427124672e-02	4.7851738643e-02	-1.2213565088e-01	-8.0351112471e-02	2.8189256485e-18	1	66
8.0000000000e+00	optGM(a=-0.0822,b=0.8013,c=0.5926)	-6.5476208031e-02	-2.5470398959e-02	-2.1390683414e-02	3.2292715067e-02	-9.7768923097e-02	-7.3122083713e-02	6.1799523832e-18	1	74
1.0000000000e+01	optGM(a=-0.0822,b=0.8013,c=0.5926)	-5.7982643880e-02	-2.3215620209e-02	-1.8572289477e-02	2.4481669784e-02	-8.2464313665e-02	-6.5149765892e-02	1.1384122811e-18	1	92
