# rs	functional	E_per_N(Ha)	Ec_per_N(Ha)	Ec_QMC(Ha)	T/N	Exc/N	mu	rho_err	converged	iters
2.0000000000e-01	Beta(beta=0.450)	2.5335438587e+01	2.5009107475e-03	-1.0112257165e-01	2.7643278674e+01	-2.3078400871e+00	4.2983702346e+01	2.2382096176e-13	1	83
3.0000000000e-01	Beta(beta=0.450)	1.0746997208e+01	-3.0136558906e-03	-9.0011618209e-02	1.2304702912e+01	-1.5577057041e+00	1.8423909014e+01	6.2172489379e-14	1	89
5.0000000000e-01	Beta(beta=0.450)	3.4887718968e+00	-1.4699779454e-02	-7.6618735869e-02	4.4761173409e+00	-9.8734544410e-01	6.1384997415e+00	5.9952043330e-15	1	88
1.0000000000e+00	Beta(beta=0.450)	5.9637419028e-01	-5.0411082144e-02	-5.9773685807e-02	1.2296890085e+00	-6.3331481827e-01	1.2043495855e+00	2.1094237468e-15	1	84
2.0000000000e+00	Beta(beta=0.450)	-6.4916392301e-02	-1.1207138709e-01	-4.4759497344e-02	4.9351972927e-01	-5.5843612157e-01	8.6050076526e-02	6.2450045135e-17	1	72
3.0000000000e+00	Beta(beta=0.450)	-1.8678250571e-01	-1.5683302636e-01	-3.6941216260e-02	3.9159500476e-01	-5.7837751048e-01	-9.9448448734e-02	6.9388939039e-18	1	92
4.0000000000e+00	Beta(beta=0.450)	-2.3283507802e-01	-1.8735316506e-01	-3.1866339888e-02	3.5262438772e-01	-5.8545946574e-01	-1.6126788116e-01	6.1149002528e-17	1	86
5.0000000000e+00	Beta(beta=0.450)	-2.5325748898e-01	-2.0582245295e-01	-2.8216233275e-02	3.1701934125e-01	-5.7027683023e-01	-1.8888697532e-01	2.6237692574e-17	1	83
6.0000000000e+00	Beta(beta=0.450)	-2.6085929095e-01	-2.1519148000e-01	-2.5427124672e-02	2.8084728014e-01	-5.4170657108e-01	-2.0191211964e-01	1.5395670849e-17	1	73
8.0000000000e+00	Beta(beta=0.450)	-2.5747675397e-01	-2.1747094490e-01	-2.1390683414e-02	2.1620608082e-01	-4.7368283479e-01	-2.0754776667e-01	3.7404974951e-17	1	69
1.0000000000e+01	Beta(beta=0.450)	-2.4404744602e-01	-2.0928042235e-01	-1.8572289477e-02	1.6698142096e-01	-4.1102886699e-01	-2.0129679961e-01	3.2905535935e-17	1	64
